t,accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,label,dt,dt_seconds,session_break,session_id
0 days 00:00:58.638720972,-4.0299997,5.3199997,7.52,-0.55,1.79,0.28,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.658720972,-5.18,5.04,7.99,-0.55,1.79,0.28,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.678720972,-5.085,5.765000000000001,7.505,-0.5199999900000001,2.295,0.6950000000000001,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.698720972,-4.99,6.49,7.02,-0.48999998,2.8,1.11,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.718720972,-5.21,6.1299996,6.24,0.11,2.21,0.9199999600000001,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.738720972,-4.97,6.46,6.8799996,0.26999998000000003,2.44,1.3199999,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.758720972,-5.275,7.0,6.22499965,0.42499999,2.7,1.47999995,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.778720972,-5.58,7.54,5.5699997,0.58,2.96,1.6400000000000001,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.798720972,-5.5099998,8.2,4.04,0.6900000000000001,3.49,1.6800000000000002,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.818720972,-5.5099998,8.2,4.04,0.08,2.79,1.3599999999999999,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.838720972,-5.4649999000000005,8.605,3.00499995,0.08,2.79,1.3599999999999999,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.858720972,-5.42,9.01,1.9699999,0.08,2.79,1.3599999999999999,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.878720972,-2.3999999,11.07,7.46,-2.1299999,2.51,1.9699999,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.898720972,-3.6999998,6.5099998,4.73,-3.79,1.1899999,2.21,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.918720972,-3.6999998,6.5099998,4.73,-1.9599999,0.08,0.22,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.938720972,-4.2849999,5.5549999,5.710000000000001,-1.8199999500000001,0.23999999,-0.17999999999999997,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.958720972,-4.87,4.6,6.69,-1.6800000000000002,0.39999998000000003,-0.58,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.978720972,-4.63,2.6,6.96,-1.6800000000000002,0.39999998000000003,-0.58,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.998720972,-4.18,3.37,4.89,1.16,1.62,1.18,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.018720972,-4.18,3.37,4.89,1.16,1.62,1.18,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.038720972,-4.8599996999999995,3.8200000000000003,3.31,1.4399999,1.88,1.29,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.058720972,-4.28499975,4.91,3.1099999,1.15999995,1.9199999499999998,1.215,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.078720972,-3.7099998,6.0,2.9099998,0.88,1.9599999,1.1400000000000001,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.098720972,-3.5149999,6.859999999999999,4.2099998,0.73999998,1.66499995,0.6599999950000001,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.118720972,-3.32,7.72,5.5099998,0.59999996,1.37,0.17999999,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.138720972,-4.3199997,7.0,2.1399999,1.6400000000000001,0.7000000000000001,-0.63,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.158720972,-6.0099998,8.25,1.4699999,1.6400000000000001,0.7000000000000001,-0.63,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.178720972,-6.33,6.3199997,-0.65,1.5899999,0.59999996,-0.88,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.198720972,-5.625,8.01499985,0.43000000000000005,1.26999995,0.54499997,-0.735,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.218720972,-4.92,9.71,1.51,0.9500000000000001,0.48999998,-0.59,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.238720972,-6.14,8.46,1.06,-0.01,0.48999998,-0.39999998000000003,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.258720972,-6.14,8.46,1.06,0.78,0.19,0.14999999,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.278720972,-6.93,5.96,1.3900000000000001,0.74,0.29999998,-0.55,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.298720972,-6.93,5.96,1.3900000000000001,0.53,0.39,-0.29,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.318720972,-6.43,8.21,2.6799998,0.53,0.39,-0.29,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.338720972,-6.3100000000000005,7.375,2.3399999,0.80499995,0.5,-0.26499999999999996,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.358720972,-6.19,6.54,2.0,1.0799999,0.61,-0.24,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.378720972,-6.6099996999999995,6.8399997,0.35000000000000003,1.24,0.5399999600000001,0.03,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.398720972,-6.74,5.6099996999999995,2.32,0.65,0.17999999,0.28,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.418720972,-6.74,5.6099996999999995,2.32,0.6900000000000001,0.0,0.77,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.438720972,-7.1299996,7.69,-0.17,0.6900000000000001,0.0,0.77,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.458720972,-4.4,8.679999,0.76,0.089999996,-0.17,1.17,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.478720972,-4.470000000000001,9.4249995,0.445,0.104999998,-0.1,1.05,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.498720972,-4.54,10.17,0.13,0.12,-0.03,0.93,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.518720972,-4.4366666666666665,9.99,-0.19999998333333335,0.09666666566666667,0.10666666666666669,0.7433333333333334,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.538720972,-4.333333333333334,9.81,-0.5299999666666667,0.07333333133333333,0.24333333333333337,0.5566666666666666,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.558720972,-4.23,9.63,-0.8599999500000001,0.049999997000000004,0.38,0.37,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.578720972,-5.23,8.82,1.26,-0.19,0.42,-0.32,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.598720972,-5.175000000000001,8.41999975,1.7349999999999999,-0.16999999500000001,0.4,-0.41000000000000003,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.618720972,-5.12,8.0199995,2.21,-0.14999999,0.38,-0.5,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.638720972,-5.5600000000000005,8.139999,1.12,0.02,0.45999998000000003,-0.97999996,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.658720972,-5.33,7.7699993,1.245,-0.014999998500000004,0.42499999,-1.13499998,STANDING,0 days 00:00:00.020000,0.02,False,0
