t,accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,label,dt,dt_seconds,session_break,session_id
0 days 00:14:16.678720972,1.3399999,9.559999,-2.02,0.08,0.0,-0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.698720972,1.3899999,9.5749995,-1.97,0.04,-0.005,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.718720972,1.4399999,9.59,-1.92,0.0,-0.01,0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.738720972,1.4399999,9.59,-1.92,-0.02,-0.04,0.04,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.758720972,1.3599999999999999,9.66,-1.9799999,-0.02,-0.04,0.04,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.778720972,1.3599999999999999,9.66,-1.9799999,-0.03,-0.049999997000000004,0.06,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.798720972,1.3599999999999999,9.69,-1.9799999,-0.06,-0.06,0.09999999400000001,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.818720972,1.39,9.765,-1.9149998999999998,-0.074999998,-0.065,0.10499999700000001,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.838720972,1.42,9.84,-1.8499998999999998,-0.089999996,-0.07,0.11000000000000001,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.858720972,1.7199999,10.0199995,-1.78,-0.07,-0.08,0.12,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.878720972,1.51,10.01,-1.7899999999999998,-0.07,-0.08,0.12,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.898720972,1.51,10.01,-1.7899999999999998,0.02,-0.13,0.09999999400000001,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.918720972,1.455,9.934999999999999,-1.80999995,0.034999998500000004,-0.135,0.09999999400000001,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.938720972,1.4,9.86,-1.8299999,0.049999997000000004,-0.14,0.09999999400000001,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.958720972,1.52,9.679999,-1.9699999,0.049999997000000004,-0.14,0.09999999400000001,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.978720972,1.54,9.67,-2.03,0.06,-0.16,0.089999996,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:16.998720972,1.4599999,9.71,-2.1499999,0.01,-0.21000000000000002,0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.018720972,1.4599999,9.71,-2.1499999,-0.015000000000000001,-0.219999995,0.0399999985,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.038720972,1.4599999,9.71,-2.1499999,-0.04,-0.22999999,0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.058720972,1.38,9.84,-1.9799999,-0.04,-0.22999999,0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.078720972,1.5799999,9.8,-1.9899999999999998,-0.09999999400000001,-0.24,0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.098720972,1.5799999,9.8,-1.9899999999999998,-0.06,-0.22999999,0.07,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.118720972,1.5799999,9.75,-2.045,-0.0325,-0.242499995,0.077499999,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.138720972,1.5799999,9.7,-2.1,-0.005,-0.255,0.084999998,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.158720972,1.47999995,9.7549995,-2.09,-0.0025,-0.2575,0.08249999899999999,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.178720972,1.38,9.809999,-2.08,0.0,-0.26,0.08,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.198720972,1.38,9.809999,-2.08,0.01,-0.26,0.089999996,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.218720972,1.37,9.88,-1.9799999,0.04,-0.24,0.12,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.238720972,1.35,9.86,-2.04,0.04,-0.24,0.12,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.258720972,1.35,9.86,-2.04,0.11000000000000001,-0.17999999,0.089999996,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.278720972,1.24,9.83,-2.03,0.11000000000000001,-0.17999999,0.089999996,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.298720972,1.18,9.82,-2.0,0.12,-0.13,0.06,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.318720972,1.18,9.82,-2.0,0.13,-0.089999996,0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.338720972,1.122499975,9.8275,-1.9199999749999999,0.1325,-0.07999999625,0.04749999775,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.358720972,1.06499995,9.835,-1.8399999499999997,0.135,-0.0699999965,0.0449999985,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.378720972,1.0124999749999999,9.7225,-1.9199999749999999,0.112499998,-0.03499999825,0.02249999925,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.398720972,0.96,9.61,-2.0,0.089999996,0.0,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.418720972,0.78,9.639999,-2.05,0.04,0.02,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.438720972,0.78,9.639999,-2.05,0.0,0.07,0.02,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.458720972,0.7499999850000001,9.659999,-2.035,0.0,0.07,0.02,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.478720972,0.71999997,9.679999,-2.02,0.0,0.07,0.02,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.498720972,0.89,9.78,-1.9,-0.02,0.12,0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.518720972,0.9400000000000001,9.87,-1.7600000000000002,-0.03,0.14999999,0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.538720972,0.96,9.87,-1.81,0.01,0.21000000000000002,0.06,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.558720972,0.96,9.87,-1.81,0.0299999985,0.23999999000000002,0.05,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.578720972,0.96,9.87,-1.81,0.049999997000000004,0.26999998000000003,0.04,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.598720972,1.0799999,9.91,-1.8799999999999997,0.049999997000000004,0.26999998000000003,0.04,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.618720972,1.1999999,9.96,-1.8,0.08,0.32999998,0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.638720972,1.51,10.0199995,-1.7199999,0.089999996,0.37,0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.658720972,2.03,9.99,-1.75,0.089999996,0.37,0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.678720972,2.03,9.99,-1.75,0.089999996,0.35999998,0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.698720972,2.24,9.809999,-1.9399999,0.089999996,0.29999998,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.718720972,2.17,9.709999499999999,-1.98499995,0.087499997,0.20749999,-0.0125,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.738720972,2.1,9.61,-2.03,0.084999998,0.115,-0.025,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.758720972,1.8499998999999998,9.5,-2.12,0.08,0.04,-0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.778720972,1.55,9.59,-2.04,0.049999997000000004,-0.049999997000000004,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.798720972,1.455,9.625,-2.05,0.0399999985,-0.0699999965,0.015,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.818720972,1.3599999999999999,9.66,-2.06,0.03,-0.089999996,0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.838720972,1.37,9.76,-2.1,0.03,-0.089999996,0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.858720972,1.37,9.76,-2.1,0.02,-0.07,0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.878720972,1.37,9.8,-2.08,0.025,-0.059999998500000006,0.0449999985,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.898720972,1.37,9.84,-2.06,0.03,-0.049999997000000004,0.04,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.918720972,1.2099999,9.87,-2.09,0.03,-0.03,0.02,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.938720972,1.2099999,9.87,-2.09,0.03,0.0,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.958720972,1.04,9.75,-2.02,0.03,0.0,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.978720972,1.04,9.75,-2.02,0.03,0.04,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:17.998720972,1.205,9.795,-1.97,0.025,0.06,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.018720972,1.37,9.84,-1.92,0.02,0.08,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.038720972,1.7099999000000001,9.84,-1.8,0.054999998,0.035,0.005,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.058720972,1.6699999499999998,9.8649995,-1.7100000000000002,0.072499997,0.0175,0.0025,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.078720972,1.6299999999999997,9.889999,-1.6200000000000003,0.089999996,0.0,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.098720972,1.6299999999999997,9.889999,-1.6200000000000003,0.089999996,-0.17,0.02,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.118720972,1.585,9.7999995,-1.6400000000000001,0.089999996,-0.17,0.02,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.138720972,1.54,9.71,-1.6600000000000001,0.089999996,-0.17,0.02,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.158720972,1.4100000000000001,9.75,-1.7399999999999998,0.089999996,-0.24,0.04,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.178720972,1.24,9.65,-1.9699999,0.049999997000000004,-0.28,0.04,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.198720972,1.06,9.53,-2.31,0.049999997000000004,-0.28,0.04,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.218720972,1.06,9.53,-2.31,-0.024999998499999995,-0.28,0.07500000000000001,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.238720972,1.06,9.53,-2.31,-0.09999999400000001,-0.28,0.11000000000000001,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.258720972,1.1999999,9.57,-2.4299998,-0.09999999400000001,-0.28,0.11000000000000001,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.278720972,1.1999999,9.57,-2.4299998,-0.19999999000000002,-0.22999999,0.19999999000000002,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.298720972,1.1949999,9.76,-2.2549999,-0.19999999000000002,-0.22999999,0.19999999000000002,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.318720972,1.1899999,9.95,-2.08,-0.19999999000000002,-0.22999999,0.19999999000000002,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.338720972,1.18,10.3,-1.7399999999999998,-0.11000000000000001,-0.14,0.19,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.358720972,1.3900000000000001,10.04,-1.8799999999999997,0.08,-0.06,0.14,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.378720972,1.3900000000000001,10.04,-1.8799999999999997,0.17,-0.01,0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.398720972,1.3199999,9.8,-2.21,0.17999999,0.0,-0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.418720972,1.22999995,9.795,-2.23,0.17999999,0.0,-0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.438720972,1.1400000000000001,9.79,-2.25,0.17999999,0.0,-0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.458720972,0.7899999600000001,9.889999,-1.9899999999999998,0.17,0.03,-0.06,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.478720972,0.8100000000000002,9.75,-1.9799999,0.17,0.06,-0.07,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.498720972,1.0799999,9.58,-2.1299999,0.17,0.06,-0.07,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.518720972,1.0799999,9.58,-2.1299999,0.12000000000000001,0.07,-0.05,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.538720972,1.0799999,9.58,-2.1299999,0.07,0.08,-0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.558720972,1.03,9.7,-2.07,0.07,0.08,-0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.578720972,1.03,9.7,-2.07,-0.02,0.07,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.598720972,0.75,9.76,-1.92,-0.089999996,0.13,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.618720972,0.72,9.764999750000001,-1.92,-0.084999998,0.195,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.638720972,0.6900000000000001,9.7699995,-1.92,-0.08,0.26,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.658720972,1.01,9.84,-1.9300000000000002,-0.07,0.32999998,0.02,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.678720972,1.3199999,9.95,-1.7399999999999998,-0.07,0.32999998,0.02,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.698720972,1.3199999,9.95,-1.74,0.0,0.35000000000000003,0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.718720972,1.4574999499999999,9.947499749999999,-1.7475,0.005,0.33749999500000005,0.005,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.738720972,1.595,9.9449995,-1.755,0.01,0.32499999,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.758720972,1.63,9.969999,-1.77,0.02,0.24,-0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.778720972,1.7099999000000001,9.87,-1.81,0.02,0.24,-0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.798720972,1.6949999500000001,9.885,-1.775,0.02,0.19,-0.0275,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.818720972,1.6800000000000002,9.9,-1.74,0.02,0.13999999999999999,-0.025,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.838720972,1.705,9.8099995,-1.78499995,0.02,0.09,-0.0225,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.858720972,1.73,9.719999,-1.8299999,0.02,0.04,-0.02,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.878720972,1.73,9.719999,-1.8299999,0.049999997000000004,-0.04,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.898720972,1.27,9.55,-2.11,0.04,-0.08,-0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.918720972,0.8300000000000001,9.55,-2.09,0.04,-0.08,-0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.938720972,0.8300000000000001,9.55,-2.09,-0.089999996,-0.06,0.07,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.958720972,0.84999996,9.73,-1.9499999,-0.089999996,-0.06,0.07,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.978720972,1.1899999,9.82,-1.8499998999999998,-0.08,-0.02,0.12,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:18.998720972,1.1899999,9.82,-1.8499998999999998,-0.08,-0.02,0.12,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.018720972,1.37499995,9.874999500000001,-1.80999995,-0.02500000000000001,-0.01,0.11499999999999999,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.038720972,1.56,9.929999,-1.77,0.03,0.0,0.11,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.058720972,1.68999995,9.9849995,-1.80499995,0.05,-0.015,0.0799999985,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.078720972,1.8199999,10.04,-1.8399999,0.07,-0.03,0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.098720972,1.3899998999999998,9.835,-1.69,0.08499999700000001,-0.015,0.0399999985,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.118720972,1.4933332333333331,9.826666333333334,-1.77,0.08666666333333334,-0.006666666666666666,0.03333333233333333,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.138720972,1.5966665666666666,9.818332666666667,-1.85,0.08833332966666667,0.001666666666666667,0.026666666166666665,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.158720972,1.6999999,9.809999,-1.9300000000000002,0.089999996,0.01,0.02,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.178720972,1.4100000000000001,9.78,-1.92,0.049999997000000004,-0.06,0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.198720972,1.25,9.76,-1.8599999999999999,0.02,-0.11,0.04,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.218720972,1.275,9.804999500000001,-1.84499995,0.02,-0.12,0.055,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.238720972,1.3,9.849999,-1.8299999,0.02,-0.13,0.07,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.258720972,1.1400000000000001,9.79,-1.78,0.0,-0.14,0.089999996,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.278720972,1.0799999,9.79,-1.75,0.0,-0.14,0.089999996,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.298720972,1.0799999,9.79,-1.75,0.049999997000000004,-0.049999997000000004,0.08,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.318720972,1.1999999,9.895,-1.79999995,0.049999997000000004,-0.049999997000000004,0.08,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.338720972,1.3199999,10.0,-1.8499998999999998,0.049999997000000004,-0.049999997000000004,0.08,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.358720972,1.3199999,10.0,-1.8499998999999998,0.07,-0.02,0.07,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.378720972,1.3399999,10.0,-1.87,0.07,-0.02,0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.398720972,1.25,9.79,-2.0,0.08,-0.02,0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.418720972,1.2299999499999998,9.7349995,-1.98999995,0.06,-0.01,0.02,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.438720972,1.2099999,9.679999,-1.9799999,0.04,0.0,0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.458720972,1.29,9.67,-1.9499999,0.02,0.0,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.478720972,1.4499999,9.69,-1.9300000000000002,0.02,0.0,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.498720972,1.4499999,9.69,-1.9300000000000002,0.01,-0.02,0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.518720972,1.5099999,9.729999750000001,-1.925,0.01,-0.03,0.0399999985,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.538720972,1.5699999,9.7699995,-1.92,0.01,-0.04,0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.558720972,1.62,9.86,-1.8,0.02,-0.08,0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.578720972,1.6099999999999999,9.889999,-1.73,0.02,-0.08,0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.598720972,1.6099999999999999,9.889999,-1.73,0.03,-0.11,0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.618720972,1.54,9.809999,-1.81,0.08,-0.13,0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.638720972,1.465,9.7749995,-1.86,0.06999999925,-0.155,0.0649999975,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.658720972,1.3900000000000001,9.74,-1.9100000000000001,0.059999998500000006,-0.18,0.079999998,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.678720972,1.4000000000000001,9.783333333333333,-1.8933333333333333,0.05333333233333334,-0.19,0.08666666333333334,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.698720972,1.41,9.826666666666666,-1.8766666666666667,0.04666666616666667,-0.19999999999999998,0.09333332866666667,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.718720972,1.42,9.87,-1.8599999999999999,0.04,-0.21,0.09999999400000001,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.738720972,1.4399999,9.809999,-1.8499998999999998,0.049999997000000004,-0.22,0.09999999400000001,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.758720972,1.31,9.75,-1.87,0.049999997000000004,-0.22,0.09999999400000001,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.778720972,1.31,9.75,-1.87,0.049999997000000004,-0.22,0.08,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.798720972,1.13,9.719999,-1.92,0.04,-0.19999999000000002,0.07,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.818720972,1.0799999,9.86,-1.9300000000000002,0.04,-0.19999999000000002,0.07,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.838720972,1.0799999,9.86,-1.9300000000000002,0.03,-0.17999999,0.08,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.858720972,1.1,9.809999,-1.92,0.049999997000000004,-0.14,0.08,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.878720972,1.1899999,9.84,-1.9399999,0.049999997000000004,-0.14,0.08,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.898720972,1.1899999,9.84,-1.9399999,0.06,-0.09999999400000001,0.08,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.918720972,1.2099999,9.82,-1.9599999,0.07,-0.07,0.07,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.938720972,1.23,9.86,-1.8599999999999999,0.07,-0.07,0.07,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.958720972,1.2075,9.862499999999999,-1.8749999999999998,0.05500000000000001,-0.05,0.045000000000000005,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.978720972,1.185,9.864999999999998,-1.89,0.04,-0.03,0.02,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:19.998720972,1.17,9.71,-1.9699999,0.049999997000000004,0.0,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.018720972,1.2,9.6749995,-1.9649999,0.0449999985,0.02,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.038720972,1.23,9.639999,-1.9599999,0.04,0.04,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.058720972,1.24,9.659999,-1.9599999,0.03,0.04249999925,0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.078720972,1.25,9.679998999999999,-1.9599999,0.02,0.0449999985,0.02,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.098720972,1.29,9.84,-1.9399999,0.01,0.04,0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.118720972,1.4,9.87,-1.8499998999999998,0.01,0.04,0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.138720972,1.4,9.87,-1.8499998999999998,0.01,0.03,0.03,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.158720972,1.375,9.85249975,-1.8724999,0.0175,0.03,0.0275,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.178720972,1.35,9.834999499999999,-1.8949999,0.025,0.03,0.025,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.198720972,1.3,9.809999,-1.9499999,0.06,0.04,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.218720972,1.29,9.809999,-2.02,0.06,0.04,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.238720972,1.38,9.84,-1.9100000000000001,0.06,0.04,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.258720972,1.38,9.84,-1.9100000000000001,0.0549999985,0.05,-0.005,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.278720972,1.38,9.84,-1.9100000000000001,0.049999997000000004,0.06,-0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.298720972,1.4100000000000001,9.83,-1.92,0.049999997000000004,0.06,-0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.318720972,1.4100000000000001,9.83,-1.92,0.089999996,0.089999996,-0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.338720972,1.48,9.809999,-1.88,0.14,0.11,-0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.358720972,1.49,9.79,-2.04,0.14,0.11,-0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.378720972,1.49,9.79,-2.04,0.14999999,0.12,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.398720972,1.37,9.55,-2.09,0.14999999,0.12,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.418720972,1.2099999,9.679999,-2.01,0.13,0.12,0.0,STANDING,0 days 00:00:00.020000,0.02,False,1
0 days 00:14:20.438720972,1.2099999,9.679999,-2.01,0.049999997000000004,0.08,0.01,STANDING,0 days 00:00:00.020000,0.02,False,1
