,LAYING,SITTING,STANDING,WALKING,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS
LAYING,6,0,0,0,0,0
SITTING,0,9,2,2,0,0
STANDING,0,1,23,3,0,0
WALKING,0,0,2,23,1,1
WALKING_DOWNSTAIRS,0,0,0,2,25,0
WALKING_UPSTAIRS,0,0,0,0,1,19
